code	english_name	vietnamese_name
A080	Rotaviral enteritis	Viêm ruột do vi rút Rota
A082	Adenoviral enteritis	Viêm ruột do vi rút Adeno
A084	Viral intestinal infection, unspecified	Nhiễm trùng đường ruột do vi rút, không xác định
A088	Other specified intestinal infections	Nhiễm trùng đường ruột xác định khác
A150	Tuberculosis of lung	Lao phổi, khẳng định về soi đờm có cấy hoặc không cấy đờm
A154	Tuberculosis of intrathoracic lymph nodes	Lao hạch lympho trong lồng ngực, khẳng định về vi khuẩn học và mô học
A155	Tuberculosis of larynx, trachea and bronchus	Lao thanh quản, khí quản và phế quản, khẳng định về vi khuẩn học và mô học
A156	Tuberculous pleurisy	Lao màng phổi, khẳng định về vi khuẩn học và mô học
A157	Primary respiratory tuberculosis	Lao hô hấp sơ nhiễm, khẳng định về vi khuẩn học và mô học
A158	Other respiratory tuberculosis	Lao hô hấp khác, khẳng định về vi khuẩn học và mô học
A159	Respiratory tuberculosis unspecified	Lao hô hấp không xác định, khẳng định về vi khuẩn học và mô học
A170	Tuberculous meningitis	Viêm màng não do lao
A171	Meningeal tuberculoma	U lao màng não
A179	Tuberculosis of nervous system, unspecified	Lao hệ thần kinh, không xác định
A182	Tuberculous peripheral lymphadenopathy	Lao hạch lympho ngoại vi
A184	Tuberculosis of skin and subcutaneous tissue	Lao da và mô dưới da
A186	Tuberculosis of (inner) (middle) ear	Lao ở tai
A187	Tuberculosis of adrenal glands	Lao tuyến thượng thận
A190	Acute miliary tuberculosis of a single specified site	Lao kê cấp của một vị trí xác định
A191	Acute miliary tuberculosis of multiple sites	Lao kê cấp của nhiều vị trí
A192	Acute miliary tuberculosis, unspecified	Lao kê cấp, không xác định
A198	Other miliary tuberculosis	Lao kê khác
A199	Miliary tuberculosis, unspecified	Lao kê, không xác định
A200	Bubonic plague	Dịch hạch thể hạch
A201	Cellulocutaneous plague	Dịch hạch thể viêm da mô mềm
A202	Pneumonic plague	Dịch hạch thể phổi
A203	Plague meningitis	Dịch hạch thể viêm màng não
A207	Septicemic plague	Dịch hạch thể nhiễm trùng huyết
A208	Other forms of plague	Dịch hạch thể khác
A209	Plague, unspecified	Dịch hạch không xác định
A210	Ulceroglandular tularemia	Loét hạch do tularaemia
A211	Oculoglandular tularemia	Bệnh tularaemia hạch ở mắt
A212	Pulmonary tularemia	Bệnh tularaemia thể phổi
A213	Gastrointestinal tularemia	Bệnh tularaemia thể dạ dày ruột
A217	Generalized tularemia	Bệnh tularaemia toàn thân
A218	Other forms of tularemia	Bệnh tularaemia thể khác
A219	Tularemia, unspecified	Bệnh tularaemia, không xác định
A220	Cutaneous anthrax	Bệnh than thể da
A221	Pulmonary anthrax	Bệnh than thể phổi
A222	Gastrointestinal anthrax	Bệnh than thể dạ dày ruột
A227	Anthrax sepsis	Bệnh than thể nhiễm khuẩn huyết
A228	Other forms of anthrax	Bệnh than thể khác
A229	Anthrax, unspecified	Bệnh than không xác định
A230	Brucellosis due to Brucella melitensis	Bệnh do Brucella melitensis
A231	Brucellosis due to Brucella abortus	Bệnh do Brucella abortus
A232	Brucellosis due to Brucella suis	Bệnh do Brucella suis
A233	Brucellosis due to Brucella canis	Bệnh do Brucella canis
A238	Other brucellosis	Bệnh do Brucella khác
A239	Brucellosis, unspecified	Bệnh do Brucella, không xác định
A240	Glanders	Bệnh do Burkholderia mallei
A241	Acute and fulminating melioidosis	Bệnh do Burkholderia Pseudomallei cấp tính và tối cấp
A242	Subacute and chronic melioidosis	Bệnh do Burkholderia Pseudomallei bán cấp và mạn tính
A243	Other melioidosis	Bệnh do Burkholderia Pseudomallei khác
A249	Melioidosis, unspecified	Bệnh melioidosis, không xác định
A250	Spirillosis	Bệnh do spirilla
A251	Streptobacillosis	Bệnh do Streptobacilla
A259	Rat-bite fever, unspecified	Sốt do chuột cắn không xác định
A260	Cutaneous erysipeloid	Bệnh viêm quầng đỏ ở da do Erysipelothrix
A267	Erysipelothrix sepsis	Nhiễm khuẩn huyết do Erysipelothrix
A268	Other forms of erysipeloid	Thể khác của viêm quầng đỏ do Erysipelothrix
A269	Erysipeloid, unspecified	Bệnh viêm quầng đỏ do Erysipelothrix rhusiopathiae, không đặc hiệu
A270	Leptospirosis icterohemorrhagica	Bệnh do Leptospira gây vàng da xuất huyết
A279	Leptospirosis, unspecified	Nhiễm Leptospira, không đặc hiệu
A280	Pasteurellosis	Bệnh tụ huyết trùng do Pasteurella
A281	Cat-scratch disease	Bệnh mèo cào
A282	Extraintestinal yersiniosis	Nhiễm Yersinia ngoài ruột
A288	Other specified zoonotic bacterial diseases, not elsewhere classified	Bệnh nhiễm trùng do động vật truyền sang người khác, không phân loại nơi khác
A289	Zoonotic bacterial disease, unspecified	Bệnh nhiễm trùng do động vật truyền sang người, không xác định
A300	Indeterminate leprosy	Bệnh phong thể bất định
A301	Tuberculoid leprosy	Bệnh phong thể củ
A302	Borderline tuberculoid leprosy	Bệnh phong thể củ trung gian
A303	Borderline leprosy	Bệnh phong thể trung gian
A304	Borderline lepromatous leprosy	Bệnh phong thể u trung gian
A305	Lepromatous leprosy	Bệnh phong thể u
A308	Other forms of leprosy	Thể khác của bệnh phong
A309	Leprosy, unspecified	Bệnh phong, không xác định
A310	Pulmonary mycobacterial infection	Nhiễm khuẩn phổi do Mycobacteria
A311	Cutaneous mycobacterial infection	Nhiễm khuẩn da do Mycobacteria
A312	Disseminated mycobacterium avium-intracellulare complex (DMAC)	Phức hợp mycobacterium avium-intracellulare lan tỏa (DMAC)
A318	Other mycobacterial infections	Nhiễm khuẩn Mycobacteria khác
A319	Mycobacterial infection, unspecified	Nhiễm khuẩn do Mycobacteria, không đặc hiệu
A320	Cutaneous listeriosis	Nhiễm khuẩn da do Listeria
A327	Listerial sepsis	Nhiễm khuẩn huyết do Listeria
A329	Listeriosis, unspecified	Bệnh do Listeria, không đặc hiệu
A360	Pharyngeal diphtheria	Bệnh bạch hầu họng
A361	Nasopharyngeal diphtheria	Bệnh bạch hầu thể mũi họng
A362	Laryngeal diphtheria	Bệnh bạch hầu thanh quản
A363	Cutaneous diphtheria	Bệnh bạch hầu da
A369	Diphtheria, unspecified	Bệnh bạch hầu, không đặc hiệu
A380	Scarlet fever with otitis media	Sốt ban đỏ kèm viêm tai giữa
A381	Scarlet fever with myocarditis	Sốt ban đỏ kèm viêm cơ tim
A388	Scarlet fever with other complications	Sốt ban đỏ kèm các biến chứng khác
A389	Scarlet fever, uncomplicated	Sốt ban đỏ, không kèm biến chứng
A390	Meningococcal meningitis	Viêm màng não do não mô cầu 
A391	Waterhouse-Friderichsen syndrome	Hội chứng Waterhouse- Friderichsen
A392	Acute meningococcemia	Nhiễm khuẩn huyết não mô cầu cấp tính
A393	Chronic meningococcemia	Nhiễm khuẩn huyết não mô cầu mạn tính
A394	Meningococcemia, unspecified	Nhiễm khuẩn huyết não mô cầu, không đặc hiệu
A399	Meningococcal infection, unspecified	Nhiễm não mô cầu, không đặc hiệu
A400	Sepsis due to streptococcus, group A	Nhiễm khuẩn huyết do liên cầu, nhóm A
A401	Sepsis due to streptococcus, group B	Nhiễm khuẩn huyết do liên cầu, nhóm B
A403	Sepsis due to Streptococcus pneumoniae	Nhiễm khuẩn huyết do phế cầu
A408	Other streptococcal sepsis	Nhiễm khuẩn huyết do liên cầu khác
A409	Streptococcal sepsis, unspecified	Nhiễm khuẩn huyết do liên cầu, không đặc hiệu
A411	Sepsis due to other specified staphylococcus	Nhiễm khuẩn huyết do tụ cầu xác định khác
A412	Sepsis due to unspecified staphylococcus	Nhiễm khuẩn huyết do tụ cầu không đặc hiệu
A413	Sepsis due to Hemophilus influenzae	Nhiễm khuẩn huyết do Haemophilus influenzae
A414	Sepsis due to anaerobes	Nhiễm khuẩn huyết do vi khuẩn kỵ khí
A419	Sepsis, unspecified organism	Nhiễm khuẩn huyết, không đặc hiệu
A420	Pulmonary actinomycosis	Bệnh do nhiễm nấm Actinomyces ở phổi
A421	Abdominal actinomycosis	Bệnh do nhiễm nấm Actinomyces ở bụng
A422	Cervicofacial actinomycosis	Bệnh do nhiễm nấm Actinomyces ở mặt- cổ
A427	Actinomycotic sepsis	Nhiễm trùng huyết do nhiễm nấm Actinomyces
A429	Actinomycosis, unspecified	Bệnh do nhiễm nấm Actinomyces, không đặc hiệu
A430	Pulmonary nocardiosis	Bệnh do Nocardia ở phổi
A431	Cutaneous nocardiosis	Bệnh do Nocardia ở da
A438	Other forms of nocardiosis	Thể khác của bệnh Nocardia
A439	Nocardiosis, unspecified	Bệnh do Nocardia, không đặc hiệu
A440	Systemic bartonellosis	Bệnh do Bartonella toàn thân
A441	Cutaneous and mucocutaneous bartonellosis	Bệnh do Bartonella ở da và niêm mạc
A448	Other forms of bartonellosis	Thể khác của bệnh do Bartonella
A449	Bartonellosis, unspecified	Bệnh do Bartonella, không đặc hiệu
A480	Gas gangrene	Bệnh hoại thư sinh hơi
A481	'Legionnaires'' disease'	Bệnh do Legionnaire
A482	'Nonpneumonic Legionnaires'' disease [Pontiac fever]'	Bệnh Legionnaire không ở phổi [sốt Pontiac]
A483	Toxic shock syndrome	Hội chứng sốc nhiễm độc
A484	Brazilian purpuric fever	Sốt ban xuất huyết Brazil
A488	Other specified bacterial diseases	Bệnh nhiễm khuẩn xác định khác
A491	Streptococcal infection, unspecified site	Nhiễm trùng liên cầu, vị trí không xác định
A492	Hemophilus influenzae infection, unspecified site	Nhiễm Haemophilus influenzae, vị trí không xác định
A493	Mycoplasma infection, unspecified site	Nhiễm Mycoplasma, vị trí không xác định
A498	Other bacterial infections of unspecified site	Nhiễm khuẩn khác, vị trí không xác định
A499	Bacterial infection, unspecified	Nhiễm khuẩn, không đặc hiệu
A501	Early congenital syphilis, latent	Giang mai bẩm sinh, thể ẩn
A502	Early congenital syphilis, unspecified	Giang mai bẩm sinh, không xác định
A506	Late congenital syphilis, latent	Giang mai bẩm sinh muộn, thể ẩn
A507	Late congenital syphilis, unspecified	Giang mai bẩm sinh muộn, không đặc hiệu
A509	Congenital syphilis, unspecified	Giang mai bẩm sinh, không đặc hiệu
A510	Primary genital syphilis	Giang mai sinh dục nguyên phát
A511	Primary anal syphilis	Giang mai hậu môn nguyên phát
A512	Primary syphilis of other sites	Giang mai nguyên phát ở vị trí khác
A515	Early syphilis, latent	Giang mai sớm, tiềm ẩn
A519	Early syphilis, unspecified	Giang mai sớm, không đặc hiệu
A522	Asymptomatic neurosyphilis	Bệnh giang mai có tổn thương hệ thần kinh dạng tiềm ẩn
A523	Neurosyphilis, unspecified	Giang mai thần kinh, không đặc hiệu
A528	Late syphilis, latent	Giang mai muộn, tiềm ẩn
A529	Late syphilis, unspecified	Giang mai muộn, không đặc hiệu
A530	Latent syphilis, unspecified as early or late	Giang mai thể ẩn, không xác định là sớm hoặc muộn
A539	Syphilis, unspecified	Giang mai, không xác định
A541	Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess	Viêm lậu cầu vùng sinh dục ngoài
A545	Gonococcal pharyngitis	Viêm họng do lậu
A546	Gonococcal infection of anus and rectum	Nhiễm lậu cầu ở hậu môn và trực 
A549	Gonococcal infection, unspecified	Nhiễm lậu cầu, không đặc hiệu
A562	Chlamydial infection of genitourinary tract, unspecified	Bệnh do chlamydia ở đường niệu- sinh dục, không đặc hiệu
A563	Chlamydial infection of anus and rectum	Bệnh do chlamydia ở hậu môn và trực tràng
A564	Chlamydial infection of pharynx	Bệnh do chlamydia ở họng
A568	Sexually transmitted chlamydial infection of other sites	Bệnh do chlamydia lây truyền qua đường tình dục có vị trí khác
A598	Trichomoniasis of other sites	Bệnh do trichomonas ở vị trí khác
A599	Trichomoniasis, unspecified	Bệnh do trichomonas, không đặc hiệu
A601	Herpesviral infection of perianal skin and rectum	Bệnh do vi rút Herpes [herpes simplex] ở da quanh hậu môn và trực tràng
A609	Anogenital herpesviral infection, unspecified	Nhiễm vi rút Herpes [herpes simplex] ở hậu môn- sinh dục, không xác định
A630	Anogenital (venereal) warts	Sùi mào gà
A638	Other specified predominantly sexually transmitted diseases	Bệnh lây truyền chủ yếu qua đường tình dục xác định khác
A660	Initial lesions of yaws	Bệnh lây truyền chủ yếu qua đường tình dục xác định khác
A661	Multiple papillomata and wet crab yaws	Ghẻ cóc đa u nhú và ghẻ cóc dạng u
A662	Other early skin lesions of yaws	Tổn thương da sớm khác của ghẻ cóc
A663	Hyperkeratosis of yaws	Quá sản sừng của ghẻ cóc
A664	Gummata and ulcers of yaws	Gôm và loét của ghẻ cóc
A665	Gangosa	Bệnh Gangosa [bệnh loét quanh mũi]
A666	Bone and joint lesions of yaws	Tổn thương xương và khớp của ghẻ cóc
A667	Other manifestations of yaws	Biểu hiện khác của ghẻ cóc
A668	Latent yaws	Ghẻ cóc tiềm ẩn
A669	Yaws, unspecified	Ghẻ cóc, không đặc hiệu
A670	Primary lesions of pinta	Tổn thương tiên phát của pinta
A671	Intermediate lesions of pinta	Tổn thương trung gian của pinta
A672	Late lesions of pinta	Tổn thương muộn của pinta
A673	Mixed lesions of pinta	Tổn thương hỗn hợp của pinta
A679	Pinta, unspecified	Pinta, không đặc hiệu
A680	Louse-borne relapsing fever	Sốt hồi quy do chấy rận
A681	Tick-borne relapsing fever	Sốt hồi quy do ve truyền
A689	Relapsing fever, unspecified	Sốt tái phát, không xác đinh
A690	Necrotizing ulcerative stomatitis	Viêm loét hoại tử ở miệng
A691	'Other Vincent''s infections'	Nhiễm trùng do kiểu Vincent khác
A698	Other specified spirochetal infections	Nhiễm xoắn khuẩn xác định khác
A699	Spirochetal infection, unspecified	Nhiễm xoắn khuẩn, không đặc hiệu
A710	Initial stage of trachoma	Giai đoạn đầu của mắt hột
A711	Active stage of trachoma	Giai đoạn hoạt động của mắt hột
A719	Trachoma, unspecified	Mắt hột, không đặc hiệu
A740	Chlamydial conjunctivitis	Viêm kết mạc do chlamydia
A749	Chlamydial infection, unspecified	Bệnh do chlamydia, không xác định
A750	Epidemic louse-borne typhus fever due to Rickettsia prowazekii	Sốt phát ban dịch tễ (do chấy rận truyền) do Rickettsia prowazekii
A751	'Recrudescent typhus [Brill''s disease]'	Sốt phát ban tái phát [bệnh Brill]
A752	Typhus fever due to Rickettsia typhi	Sốt phát ban do Rickettsia typhi
A753	Typhus fever due to Rickettsia tsutsugamushi	Sốt phát ban do Rickettsia tsutsugamushi [bệnh sốt mò]
A759	Typhus fever, unspecified	Sốt phát ban, không đặc hiệu
A770	Spotted fever due to Rickettsia rickettsii	Sốt phát ban dạng đốm do Rickettsia rikettsii
A771	Spotted fever due to Rickettsia conorii	Sốt phát ban dạng đốm do Rickettsia conoril
A772	Spotted fever due to Rickettsia siberica	Sốt phát ban dạng đốm do Rickettsia siberica
A773	Spotted fever due to Rickettsia australis	Sốt phát ban dạng đốm do Rickettsia australis
A778	Other spotted fevers	Sốt phát ban dạng đốm khác
A779	Spotted fever, unspecified	Sốt phát ban dạng đốm, không xác định
A790	Trench fever	Sốt chiến hào
A791	Rickettsialpox due to Rickettsia akari	Mụn Rickettsia do Rickettsia akari
A799	Rickettsiosis, unspecified	Nhiễm Rickettsia, không đặc hiệu
A800	Acute paralytic poliomyelitis, vaccine-associated	Bệnh bại liệt cấp, thể liệt, liên quan đến Vắc xin
A801	Acute paralytic poliomyelitis, wild virus, imported	Bệnh bại liệt cấp thể liệt, do vi rút hoang dã, ngoại lai
A802	Acute paralytic poliomyelitis, wild virus, indigenous	Bệnh bại liệt cấp, thể liệt, do vi rút hoang dã, bản địa
A804	Acute nonparalytic poliomyelitis	Bệnh bại liệt cấp, không liệt
A809	Acute poliomyelitis, unspecified	Bệnh bại liệt cấp, không xác định
A811	Subacute sclerosing panencephalitis	Viêm toàn não xơ hoá bán cấp
A812	Progressive multifocal leukoencephalopathy	Bệnh lý não chất trắng đa ổ tiến triển
A819	Atypical virus infection of central nervous system, unspecified	Nhiễm vi rút không điển hình của hệ thần kinh trung ương, không đặc hiệu
A820	Sylvatic rabies	Bệnh dại vùng rừng núi
A821	Urban rabies	Bệnh dại thành thị
A829	Rabies, unspecified	Bệnh dại, không đặc hiệu
A830	Japanese encephalitis	Bệnh viêm não Nhật Bản
A831	Western equine encephalitis	Bệnh viêm não ngựa miền Tây
A832	Eastern equine encephalitis	Bệnh viêm não ngựa miền Đông
A833	St Louis encephalitis	Bệnh viêm não St. Louis
A834	Australian encephalitis	Bệnh viêm não châu Úc
A835	California encephalitis	Bệnh viêm não California
A836	Rocio virus disease	Bệnh do vi rút Rocio
A838	Other mosquito-borne viral encephalitis	Bệnh viêm não vi rút khác do muỗi truyền
A839	Mosquito-borne viral encephalitis, unspecified	Bệnh viêm não vi rút do muỗi truyền, không xác định
A840	Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]	Viêm não Viễn Đông do bọ ve truyền [viêm não xuân hè Nga]
A841	Central European tick-borne encephalitis	Viêm não Trung Âu do bọ ve truyền
A848	Other tick-borne viral encephalitis	Viêm não vi rút khác do bọ ve truyền
A849	Tick-borne viral encephalitis, unspecified	Viêm não vi rút do bọ ve truyền, không xác định
A850	Enteroviral encephalitis	Viêm não do Enterovirus 
A851	Adenoviral encephalitis	Viêm não do vi rút Adeno
A852	Arthropod-borne viral encephalitis, unspecified	Bệnh viêm não vi rút do tiết túc truyền, không xác định
A858	Other specified viral encephalitis	Viêm não vi rút xác định khác
A870	Enteroviral meningitis	Viêm màng não do Enterovirus 
A871	Adenoviral meningitis	Bệnh viêm màng não do vi rút Adeno
A872	Lymphocytic choriomeningitis	Viêm màng não- đám rối mạch mạc tăng lympho bào
A878	Other viral meningitis	Viêm màng não do vi rút khác
A879	Viral meningitis, unspecified	Viêm màng não do vi rút, không đặc hiệu
A880	Enteroviral exanthematous fever [Boston exanthem]	Sốt phát ban do Enterovirus [phát ban Boston]
A881	Epidemic vertigo	Chóng mặt gây dịch
A888	Other specified viral infections of central nervous system	Nhiễm vi rút xác định khác của hệ thần kinh trung ương
A90	Dengue fever	Bệnh sốt đăng gơ
A920	Chikungunya virus disease	Bệnh do nhiễm vi rút Chikungunya
A921	'O''nyong-nyong fever'	Bệnh sốt do vi rút O’ nyong nyong
A922	Venezuelan equine fever	Sốt ngựa Venezuela
A924	Rift Valley fever	Sốt thung lũng Rift
A925	Zika virus disease	Bệnh nhiễm vi rút Zika
A928	Other specified mosquito-borne viral fevers	Bệnh sốt vi rút do muỗi truyền xác định khác
A929	Mosquito-borne viral fever, unspecified	Sốt vi rút do muỗi truyền, không xác định
A930	Oropouche virus disease	Bệnh do vi rút Oropouche
A931	Sandfly fever	Sốt muỗi cát
A932	Colorado tick fever	Sốt do bọ ve Colorado
A938	Other specified arthropod-borne viral fevers	Sốt vi rút xác định khác do tiết túc truyền
A950	Sylvatic yellow fever	Sốt vàng ở rừng
A951	Urban yellow fever	Sốt vàng thành thị
A959	Yellow fever, unspecified	Sốt vàng, không đặc hiệu
A960	Junin hemorrhagic fever	Bệnh sốt xuất huyết do vi rút Junin
A961	Machupo hemorrhagic fever	Bệnh sốt xuất huyết do vi rút Machupo
A962	Lassa fever	Bệnh sốt xuất huyết do vi rút Lassa
A968	Other arenaviral hemorrhagic fevers	Bệnh sốt xuất huyết do vi rút Arena khác
A969	Arenaviral hemorrhagic fever, unspecified	Sốt xuất huyết do Arenavirus, không đặc hiệu
A980	Crimean-Congo hemorrhagic fever	Bệnh sốt xuất huyết Crimean- Congo
A981	Omsk hemorrhagic fever	Bệnh sốt xuất huyết Omsk
A982	Kyasanur Forest disease	Bệnh sốt xuất huyết rừng Kyasanur
A983	Marburg virus disease	Bệnh sốt xuất huyết do vi rút Marburg
A984	Ebola virus disease	Bệnh sốt xuất huyết do vi rút Ebola
A985	Hemorrhagic fever with renal syndrome	Bệnh sốt xuất huyết kèm theo hội chứng thận
A988	Other specified viral hemorrhagic fevers	Bệnh sốt xuất huyết do vi rút xác định khác
B000	Eczema herpeticum	Bệnh chàm do nhiễm vi rút herpes [herpes simplex]
B001	Herpesviral vesicular dermatitis	Bệnh viêm da rộp nước do nhiễm vi rút Herpes [herpes simplex]
B002	Herpesviral gingivostomatitis and pharyngotonsillitis	Bệnh viêm miệng- lợi và viêm amidan- hầu do nhiễm vi rút Herpes [herpes simplex]
B003	Herpesviral meningitis	Bệnh viêm màng não do nhiễm vi rút Herpes [herpes simplex]
B004	Herpesviral encephalitis	Bệnh viêm não do nhiễm vi rút Herpes
B007	Disseminated herpesviral disease	Bệnh do nhiễm vi rút Herpes [herpes simplex] lan toả
B009	Herpesviral infection, unspecified	Bệnh do nhiễm vi rút Herpes [herpes simplex], không xác định
B010	Varicella meningitis	Viêm màng não do thuỷ đậu 
B012	Varicella pneumonia	Bệnh viêm phổi do thuỷ đậu 
B019	Varicella without complication	Bệnh thuỷ đậu không biến chứng
B020	Zoster encephalitis	Viêm não do Zoster
B021	Zoster meningitis	Viêm màng não do Zoster
B027	Disseminated zoster	Bệnh Zoster lan toả
B028	Zoster with other complications	Bệnh Zoster với các biến chứng
B029	Zoster without complications	Bệnh Zoster không biến chứng
B050	Measles complicated by encephalitis	Sởi biến chứng viêm não
B051	Measles complicated by meningitis	Sởi biến chứng viêm màng não
B052	Measles complicated by pneumonia	Sởi biến chứng viêm phổi
B053	Measles complicated by otitis media	Sởi biến chứng viêm tai giữa
B054	Measles with intestinal complications	Sởi với biến chứng ở ruột
B059	Measles without complication	Sởi không biến chứng
B069	Rubella without complication	Bệnh rubella không có biến chứng
B070	Plantar wart	Mụn cóc lòng bàn chân
B078	Other viral warts	Mụn cóc do virus khác
B079	Viral wart, unspecified	Mụn cóc do virus, không đặc hiệu
B081	Molluscum contagiosum	U mềm lây
B083	Erythema infectiosum [fifth disease]	Ban đỏ truyền nhiễm [bệnh thứ năm]
B084	Enteroviral vesicular stomatitis with exanthem	Viêm họng có phỏng nước do vi rút Entero có phát ban [Bệnh Tay chân miệng]
B085	Enteroviral vesicular pharyngitis	Viêm họng có phỏng nước do vi rút Entero
B088	Other specified viral infections characterized by skin and mucous membrane lesions	Nhiễm vi rút xác định khác có biểu hiện tổn thương tại da và niêm mạc
B150	Hepatitis A with hepatic coma	Viêm gan A có hôn mê gan
B159	Hepatitis A without hepatic coma	Bệnh viêm gan vi rút A không kèm hôn mê gan
B160	Acute hepatitis B with delta-agent with hepatic coma	Bệnh viêm gan vi rút B cấp tính có tác nhân delta (đồng nhiễm) kèm hôn mê gan
B161	Acute hepatitis B with delta-agent without hepatic coma	Bệnh viêm gan vi rút B cấp tính có có tác nhân delta (đồng nhiễm) không kèm hôn mê gan
B162	Acute hepatitis B without delta-agent with hepatic coma	Bệnh viêm gan vi rút B cấp tính không có tác nhân delta có kèm hôn mê gan
B169	Acute hepatitis B without delta-agent and without hepatic coma	Bệnh viêm gan vi rút B cấp tính không có tác nhân delta và không kèm hôn mê gan
B170	Acute delta-(super) infection of hepatitis B carrier	Viêm gan D cấp tính bội nhiễm trên người viêm gan B mạn tính
B172	Acute hepatitis E	Bệnh viêm gan vi rút E cấp tính
B178	Other specified acute viral hepatitis	Bệnh viêm gan vi rút cấp tính xác định khác
B179	Acute viral hepatitis, unspecified	Bệnh viêm gan vi rút cấp tính, không xác định
B180	Chronic viral hepatitis B with delta-agent	Bệnh viêm gan vi rút B mạn tính có kèm viêm gan virus D
B181	Chronic viral hepatitis B without delta-agent	Viêm gan vi rút B mạn tính, không đồng nhiễm viêm gan vi rút D
B182	Chronic viral hepatitis C	Viêm gan virut C mạn tính
B188	Other chronic viral hepatitis	Viêm gan vi rút mạn tính khác
B189	Chronic viral hepatitis, unspecified	Viêm gan vi rút mạn tính, không đặc hiệu
B190	Unspecified viral hepatitis with hepatic coma	Bệnh viêm gan vi rút không xác định kèm hôn mê gan
B199	Unspecified viral hepatitis without hepatic coma	Bệnh viêm gan vi rút không xác định không kèm hôn mê gan
