category_key	category_name
B09	Nhiễm vi rút không xác định, có biểu hiện tổn thương tại da và niêm mạc
B15	Bệnh viêm gan vi rút A cấp tính
B16	Bệnh viêm gan vi rút B cấp tính
B17	Bệnh viêm gan vi rút cấp tính khác
B18	Viêm gan vi rút mạn tính
B19	Viêm gan vi rút không xác định
B20	Bệnh do vi rút gây suy giảm miễn dịch ở người [HIV] dẫn đến các bệnh nhiễm trùng và ký sinh trùng
B21	Bệnh do vi rút gây suy giảm miễn dịch ở người [HIV] dẫn đến các u ác tính
B22	Bệnh do vi rút gây suy giảm miễn dịch ở người [HIV] dẫn đến các bệnh xác định khác
B23	Bệnh do vi rút gây suy giảm miễn dịch ở người [HIV] dẫn đến bệnh lý khác
B24	Bệnh do vi rút gây suy giảm miễn dịch ở người [HIV] không đặc hiệu
B25	Nhiễm vi rút Cytomegalo
B26	Bệnh quai bị
B27	Bệnh tăng bạch cầu đơn nhân nhiễm trùng
B30	Viêm kết mạc do vi rút
B33	Bệnh nhiễm vi rút khác, chưa phân loại
B34	Nhiễm vi rút ở vị trí không xác định
B35	Bệnh nấm ở da
B36	Các bệnh nhiễm nấm nông ở da khác
B37	Bệnh do nấm Candida
B38	Bệnh nhiễm nấm Coccidioides
B39	Bệnh nhiễm nấm Histoplasma
B40	Bệnh do nhiễm nấm Blastomyces
B41	Bệnh do nhiễm nấm Paracoccidioides
B42	Bệnh do nhiễm nấm Sporotrichum
B43	Bệnh do nhiễm nấm Chromoblastomycosa [nấm màu] và áp xe do phaeomyces
B44	Bệnh nhiễm nấm Aspergillus
B45	Bệnh nhiễm nấm Cryptococcus
B46	Bệnh nhiễm nấm đen Zygomycota
B47	Bệnh u nấm
B48	Bệnh nhiễm nấm khác, không phân loại nơi khác
B49	Nhiễm nấm không xác định
B50	Bệnh sốt rét do Plasmodium falciparum
B51	Bệnh sốt rét do Plasmodium vivax
B52	Bệnh sốt rét do Plasmodium malariae
B53	Bệnh sốt rét khác được khẳng định về ký sinh trùng học
B54	Bệnh sốt rét không đặc hiệu
B55	Bệnh do Leishmania
B56	Bệnh do nhiễm Trypanosoma châu Phi
B57	Bệnh Chagas
B58	Bệnh do nhiễm Toxoplasma
B60	Bệnh do ký sinh trùng đơn bào khác, không phân loại nơi khác
B64	Bệnh do ký sinh trùng đơn bào không xác định
B65	Bệnh sán máng [bilharziasis]
B66	Bệnh nhiễm sán lá khác
B67	Bệnh do Echinococcus
B68	Bệnh sán dây
B69	Bệnh ấu trùng sán lợn
B70	Bệnh nhiễm sán dây cá Diphyllobothrium và bệnh ấu trùng sán nhái Sparganum
B71	Nhiễm sán dây khác
B72	Bệnh giun Dracunculus
B73	Bệnh giun chỉ
B74	Bệnh giun chỉ
B75	Bệnh giun xoắn Trichinella
B76	Bệnh giun móc
B77	Bệnh giun đũa
B78	Bệnh giun lươn
B79	Bệnh giun tóc
B80	Bệnh giun kim
B81	Nhiễm giun đường ruột khác, chưa phân loại
B82	Bệnh ký sinh trùng đường ruột không xác định
B83	Bệnh giun sán khác
B85	Bệnh chấy rận
B86	Bệnh ghẻ
B87	Bệnh giòi
B88	Nhiễm ký sinh trùng khác
B89	Bệnh do ký sinh trùng không xác định
B90	Di chứng do lao
B91	Di chứng của bệnh bại liệt
B92	Di chứng của bệnh phong
B94	Di chứng của bệnh nhiễm trùng và ký sinh trùng khác và không xác định
B95	Liên cầu và tụ cầu là nguyên nhân gây bệnh, được phân loại ở các chương khác
B96	Tác nhân vi khuẩn xác định khác là nguyên nhân gây bệnh phân loại ở chương khác
B97	Tác nhân vi rút gây các bệnh phân loại ở chương khác
B98	Tác nhân nhiễm trùng xác định khác gây các bệnh phân loại ở chương khác
B99	Các bệnh nhiễm trùng khác và không xác định
C00	U ác của môi
C01	U ác của đáy lưỡi
C02	U ác của phần khác và không xác định của lưỡi
C03	U ác của lợi răng
C04	U ác của sàn miệng
C05	U ác của khẩu cái
C06	U ác của phần khác và không xác định của miệng
C07	U ác tuyến mang tai
C08	U ác của các tuyến nước bọt chính khác và không xác định
C09	U ác của amidan
C10	U ác của họng miệng
C11	U ác của họng mũi
C12	U ác của xoang lê
C13	U ác của hạ họng
C14	U ác vị trí khác và không rõ ràng của môi, khoang miệng và họng
C15	U ác thực quản
C16	U ác dạ dày
C17	U ác ruột non
C18	U ác đại tràng
C19	U ác của đoạn nối trực tràng- đại tràng sigma
C20	U ác trực tràng
C21	U ác của hậu môn và ống hậu môn
C22	U ác của gan và đường mật trong gan
C23	U ác túi mật
C24	U ác của phần khác và không xác định của đường mật
C25	U ác tuỵ
C26	U ác của cơ quan tiêu hoá khác và không rõ ràng
C30	U ác của khoang mũi và tai giữa
C31	U ác của các xoang phụ
C32	U ác thanh quản
C33	U ác khí quản
C34	U ác của phế quản và phổi
C37	U ác tuyến ức
C38	U ác của tim, trung thất và màng phổi
C39	U ác ở những vị trí khác và không rõ ràng của hệ hô hấp và cơ quan trong lồng ngực
C40	U ác của xương và sụn khớp của các chi
C41	U ác của xương và sụn khớp ở vị trí khác và không xác định
C43	U hắc tố ác của da
C44	U ác khác của da
C45	U trung biểu mô
C46	Ung thư mô liên kết Kaposi
C47	U ác của thần kinh ngoại vi và thần kinh tự chủ
C48	U ác của vùng sau phúc mạc và phúc mạc
C49	U ác của mô liên kết và mô mềm khác
C50	U ác của vú
C51	U ác âm hộ
C52	U ác của âm đạo
C53	U ác của cổ tử cung
C54	U ác của thân tử cung
C55	U ác tử cung phần không xác định
C56	U ác buồng trứng
C57	U ác của cơ quan sinh dục nữ khác và không xác định
C58	U ác của rau thai (nhau thai)
C60	U ác của dương vật
C61	U ác của tuyến tiền liệt
C62	U ác của tinh hoàn
C63	U ác của cơ quan sinh dục nam khác và không xác định
C64	U ác của thận ngoại trừ bể thận
C65	U ác của bể thận
C66	U ác niệu quản
C67	U ác của bàng quang
C68	U ác của cơ quan tiết niệu khác và không xác định
C69	U ác của mắt và phần phụ
C70	U ác của màng não
C71	U ác của não
C72	U ác của tuỷ sống, thần kinh sọ và các phần khác của hệ thần kinh trung ương
C73	U ác của tuyến giáp
C74	U ác của tuyến thượng thận
C75	U ác của các tuyến nội tiết khác và các cơ quan liên quan
C76	U ác có vị trí khác và không rõ ràng
C77	U ác thứ phát và không xác định của hạch lympho
C78	U ác thứ phát của cơ quan hô hấp và tiêu hoá
C79	U ác thứ phát có vị trí khác và không xác định
C80	U ác tính thứ phát không xác định vị trí
C81	U lympho Hodgkin
C82	U lympho thể nang
C83	U lympho không Hodgkin thể lan toả
C84	U lympho tế bào T/ NK trưởng thành
C85	U lympho không Hodgkin, loại khác và không xác định
C86	Loại khác và không xác định của u lympho tế bào T/ NK
C88	Bệnh tăng sinh miễn dịch ác tính
C90	Đa u tuỷ và các u tương bào
C91	Bệnh bạch cầu dòng lympho
C92	Bệnh bạch cầu tuỷ
C93	Bệnh bạch cầu mono
C94	Bệnh bạch cầu của dòng tế bào xác định khác
C95	Bệnh bạch cầu có loại tế bào không xác định
C96	U ác khác và không xác định của hệ lympho, hệ tạo máu và mô liên quan
C97	U ác có nhiều vị trí độc lập (nguyên phát), ung thư nguyên phát đa ổ
D00	Ung thư biểu mô tại chỗ của khoang miệng, thực quản và dạ dày
D01	Ung thư biểu mô tại chỗ của cơ quan tiêu hoá khác và không xác định
D02	Ung thư biểu mô tại chỗ của tai giữa và hệ hô hấp
D03	Ung thư tế bào hắc tố tại chỗ
D04	Ung thư biểu mô tại chỗ của da
D05	Ung thư biểu mô tại chỗ của vú
D06	Ung thư biểu mô tại chỗ của cổ tử cung
D07	Ung thư biểu mô tại chỗ của cơ quan sinh dục khác và không xác định
D09	Ung thư biểu mô tại chỗ ở vị trí khác và không xác định
D10	U lành của miệng và họng
D11	U lành của các tuyến nước bọt chính
D12	U lành của đại tràng, trực tràng, hậu môn và ống hậu môn
D13	U lành của phần khác và không rõ ràng của hệ tiêu hoá
D14	U lành tai giữa và hệ hô hấp
D15	U lành của cơ quan khác và không xác định trong lồng ngực
D16	U lành của xương và sụn khớp
D17	U mỡ
D18	U máu và u bạch huyết, vị trí bất kỳ
D19	U lành của trung mô
D20	U lành mô mềm sau phúc mạc và phúc mạc
D21	U lành khác của mô liên kết và mô mềm khác
D22	Nốt ruồi
D23	U lành khác của da
D24	U lành vú
D25	U cơ trơn tử cung
D26	U lành khác của tử cung
D27	U lành buồng trứng
D28	U lành của cơ quan sinh dục khác và không xác định
D29	U lành của cơ quan sinh dục nam
D30	U lành của cơ quan tiết niệu
D31	U lành của mắt và phần phụ
D32	U lành của màng não
D33	U lành của não và các phần khác của hệ thần kinh trung ương
D34	U lành của tuyến giáp
D35	U lành của tuyến nội tiết khác và không xác định
D36	U lành ở vị trí khác và không xác định
D37	U tân sinh không rõ hoặc không biết tính chất của khoang miệng và cơ quan tiêu hoá
D38	U tân sinh không rõ hoặc không biết tính chất của tai giữa, cơ quan hô hấp và cơ quan trong lồng ngực
D39	U không chắc chắn hoặc không biết tính chất của cơ quan sinh dục nữ
D40	U tân sinh không chắc chắn hoặc không biết tính chất của cơ quan sinh dục nam
D41	U tân sinh không chắc chắn hoặc không biết tính chất của cơ quan tiết niệu
D42	U tân sinh không chắc chắn hoặc không biết tính chất của màng não
D43	U tân sinh không chắc chắn hoặc không biết tính chất của não và hệ thần kinh trung ương
D44	U tân sinh không chắc chắn hoặc không biết tính chất của tuyến nội tiết
D45	Đa hồng cầu nguyên phát
D46	Hội chứng rối loạn sinh tuỷ
D47	U tân sinh khác không chắc chắn hoặc không biết sinh chất của mô u lympho, mô tạo huyết và mô liên quan
D48	U tân sinh không chắc chắn hoặc không biết tính chất có vị trí khác và không xác định
D50	Thiếu máu do thiếu sắt
D51	Thiếu máu do thiếu vitamin B12
D52	Thiếu máu thiếu folate
D53	Các thiếu máu dinh dưỡng khác
D55	Thiếu máu do rối loạn men
D56	Bệnh Thalassemia
D57	Bệnh hồng cầu hình liềm
D58	Các thiếu máu tan máu di truyền khác
D59	Thiếu máu tan máu mắc phải
D60	Suy tuỷ xương một dòng hồng cầu mắc phải (giảm nguyên hồng cầu)
D61	Các thể suy tuỷ xương khác
D62	Thiếu máu sau xuất huyết cấp tính
D63	Thiếu máu trong các bệnh mạn tính phân loại nơi khác
D64	Các thiếu máu khác
D65	Đông máu nội mạch rải rác (hội chứng tiêu fibrin)
D66	Thiếu yếu tố VIII di truyền
D67	Thiếu yếu tố IX di truyền
D68	Các bất thường đông máu khác
D69	Ban xuất huyết và các tình trạng xuất huyết khác
D70	Tình trạng mất bạch cầu hạt
D71	Rối loạn chức năng bạch cầu hạt trung tính
D72	Các rối loạn khác của bạch cầu
D73	Bệnh lý lách
D74	Methemoglobin huyết
D75	Các bệnh máu và cơ quan tạo máu khác
D76	Các bệnh của tổ chức lympho- liên võng và (tổ chức bào) mô bào- liên võng xác định khác
D77	Rối loạn khác của máu và cơ quan tạo máu trong các bệnh phân loại nơi khác
D80	Thiếu hụt miễn dịch chủ yếu do bất thường kháng thể
D81	Suy giảm miễn dịch kết hợp
D82	Suy giảm miễn dịch liên quan đến các bất thường nặng khác
D83	Một số các biến thể khác của suy giảm miễn dịch
D84	Các suy giảm miễn dịch khác
D86	Bệnh sarcoid (u hạt)
D89	Rối loạn liên quan đến cơ chế miễn dịch, không phân loại nơi khác
E00	Hội chứng thiếu iod bẩm sinh
E01	Rối loạn tuyến giáp liên quan đến thiếu iod và bệnh phối hợp
E02	Suy giáp cận lâm sàng do thiếu iod
E03	Suy giáp khác
E04	Bướu giáp không độc khác
E05	Nhiễm độc giáp (cường giáp)
E06	Viêm giáp
E07	Các rối loạn khác của tuyến giáp
E10	Bệnh đái tháo đường type 1
E11	Bệnh đái tháo đường type 2
E12	Bệnh đái tháo đường liên quan đến suy dinh dưỡng
E13	Bệnh đái tháo đường xác định khác
E14	Các thể loại đái tháo đường không xác định
E15	Hôn mê hạ đường huyết không do đái tháo đường
E16	Rối loạn khác của tuyến tuỵ nội tiết
E20	Suy tuyến cận giáp
E21	Cường cận giáp và các rối loạn khác của tuyến cận giáp
E22	Cường tuyến yên
E23	Suy chức năng và rối loạn khác của tuyến yên
E24	Hội chứng Cushing
E25	Rối loạn thượng thận sinh dục
E26	Cường aldosterone
E27	Các rối loạn khác của tuyến thượng thận
E28	Rối loạn chức năng buồng trứng
E29	Rối loạn chức năng tinh hoàn
E30	Rối loạn lúc dậy thì, không phân loại nơi khác
E31	Rối loạn chức năng đa tuyến
E32	Bệnh tuyến ức
E34	Rối loạn nội tiết khác
E35	Rối loạn tuyến nội tiết trong các bệnh phân loại nơi khác
E40	Kwashiorkor
E41	Suy dinh dưỡng thể marasmus
E42	Thể hỗn hợp Kwashiorkor- marasmus
E43	Suy dinh dưỡng nặng do thiếu protein- năng lượng, không đặc hiệu
E44	Suy dinh dưỡng vừa và nhẹ do thiếu protein- năng lượng
E45	Chậm phát triển sau suy dinh dưỡng do thiếu protein năng lượng
E46	Suy dinh dưỡng do thiếu protein năng lượng không xác định
E50	Thiếu vitamin A
E51	Thiếu thiamine
E52	Thiếu niacin
E53	Thiếu các vitamin nhóm B khác
E54	Thiếu acid ascorbic
E55	Thiếu vitamin D
E56	Thiếu Vitamin khác
E58	Thiếu Calci do chế độ ăn
E59	Thiếu Selen do chế độ ăn
E60	Thiếu kẽm do chế độ ăn
E61	Thiếu các yếu tố dinh dưỡng khác
E63	Thiếu dinh dưỡng khác
E64	Di chứng của suy dinh dưỡng và bệnh thiếu dinh dưỡng khác
E65	Béo phì khu trú
E66	Bệnh thừa cân béo phì
E67	Tình trạng thừa dinh dưỡng khác
E68	Di chứng của thừa dinh dưỡng
E70	Rối loạn chuyển hoá acid amin thơm
E71	Rối loạn chuyển hoá acid amin chuỗi nhánh và rối loạn chuyển hoá acid béo
E72	Các rối loạn khác của chuyển hoá acid amin
E73	Không dung nạp lactose
E74	Rối loạn khác của chuyển hoá carbohydrat
E75	Rối loạn chuyển hoá sphingolipid và rối loạn tích luỹ lipid
E76	Rối loạn chuyển hoá glycosaminoglycan
E77	Rối loạn chuyển hoá glycoprotein
E78	Rối loạn chuyển hoá lipoprotein và tình trạng tăng lipid máu khác
E79	Rối loạn chuyển hoá purine và pyrimidine
E80	Rối loạn chuyển hoá porphyrin và bilirubin
E83	Rối loạn chuyển hoá chất khoáng
E84	Xơ nang
E85	Thoái hoá dạng bột
E86	Giảm thể tích
E87	Rối loạn cân bằng nước, điện giải và thăng bằng kiềm toan
E88	Rối loạn chuyển hoá khác
E89	Rối loạn nội tiết và chuyển hoá sau điều trị, không phân loại nơi khác
E90	Rối loạn chuyển hoá và dinh dưỡng trong các bệnh phân loại nơi khác
F00	Sa sút trí tuệ trong bệnh Alzheimer
F01	Sa sút trí tuệ do nguyên nhân mạch
F02	Sa sút trí tuệ trong các bệnh phân loại nơi khác
F03	Sa sút trí tuệ không biệt định
F04	Hội chứng quên thực tổn không do rượu và chất tác động tâm thần khác
F05	Sảng không do rượu và chất tác động tâm thần khác
F06	Rối loạn tâm thần khác do tổn thương và rối loạn chức năng não và do bệnh cơ thể
F07	Các rối loạn nhân cách và hành vi do bệnh lý não, tổn thương não và rối loạn chức năng não
F09	Rối loạn tâm thần thực tổn hoặc triệu chứng không biệt định
F10	Rối loạn tâm thần và hành vi do sử dụng rượu
F11	Rối loạn tâm thần và hành vi do sử dụng các dạng thuốc phiện
F12	Rối loạn tâm thần và hành vi do sử dụng cần sa
F13	Rối loạn tâm thần và hành vi do sử dụng các chất an dịu hoặc các thuốc ngủ
F14	Rối loạn tâm thần và hành vi do sử dụng cocain
F15	Rối loạn tâm thần và hành vi do sử dụng chất kích thích khác, bao gồm cả caffein
F16	Rối loạn tâm thần và hành vi do sử dụng các chất gây ảo giác
F17	Rối loạn tâm thần và hành vi do sử dụng thuốc lá
F18	Rối loạn tâm thần và hành vi do sử dụng dung môi dễ bay hơi
F19	Rối loạn tâm thần và hành vi do sử dụng nhiều loại ma tuý và chất tác động tâm thần khác
F20	Tâm thần phân liệt
F21	Rối loạn loại phân liệt
F22	Rối loạn hoang tưởng dai dẳng
F23	Rối loạn loạn thần cấp và nhất thời
F24	Rối loạn hoang tưởng cảm ứng
F25	Rối loạn phân liệt cảm xúc
F28	Rối loạn loạn thần không thực tổn khác
F29	Loạn thần không thực tổn không biệt định
F30	Giai đoạn hưng cảm
F31	Rối loạn cảm xúc lưỡng cực
F32	Giai đoạn trầm cảm
F33	Rối loạn trầm cảm tái diễn
F34	Rối loạn khí sắc [cảm xúc] dai dẳng
F38	Rối loạn khí sắc [cảm xúc] khác
F39	Rối loạn khí sắc (cảm xúc) biệt định
F40	Rối loạn lo âu ám ảnh sợ hãi
F41	Các rối loạn lo âu khác
F42	Rối loạn ám ảnh nghi thức
F43	Phản ứng với stress trầm trọng và rối loạn sự thích ứng
F44	Các rối loạn phân ly [chuyển di]
F45	Rối loạn dạng cơ thể
F48	Các rối loạn tâm căn khác
F50	Các rối loạn ăn uống
F51	Rối loạn giấc ngủ không thực tổn
F52	Loạn chức năng tình dục, không do rối loạn hoặc bệnh thực tổn
F53	Rối loạn hành vi và tâm thần kết hợp với thời kì sinh đẻ, không phân loại nơi khác
F54	Các nhân tố tâm lý và hành vi kết hợp với rối loạn hoặc các bệnh phân loại nơi khác
F55	Lạm dụng các chất không gây nghiện
F59	Các hội chứng hành vi ứng xử không biệt định kết hợp với rối loạn sinh lý và yếu tố thể chất
F60	Rối loạn nhân cách đặc hiệu
F61	Rối loạn nhân cách khác và hỗn hợp
F62	Biến đổi nhân cách kéo dài, không thể quy cho một tổn thương hay bệnh não
F63	Rối loạn thói quen và xung động
F64	Các rối loạn phân định giới tính
F65	Rối loạn trong ưa chuộng tình dục
F66	Những rối loạn tâm lý và hành vi kết hợp với sự phát triển và định hướng tình dục
F68	Rối loạn khác về hành vi và nhân cách ở người trưởng thành
F69	Rối loạn không biệt định về nhân cách và hành vi ở người trưởng thành
F70	Chậm phát triển tâm thần nhẹ
F71	Chậm phát triển tâm thần trung bình
F72	Chậm phát triển tâm thần nặng
F73	Chậm phát triển tâm thần nghiêm trọng
F78	Chậm phát triển tâm thần khác
F79	Chậm phát triển tâm thần không biệt định
F80	Các rối loạn đặc hiệu về phát triển lời nói và ngôn ngữ
F81	Rối loạn đặc hiệu về phát triển các kỹ năng ở trường
F82	Rối loạn đặc hiệu sự phát triển chức năng vận động
F83	Các rối loạn đặc hiệu hỗn hợp của sự phát triển
F84	Rối loạn lan toả sự phát triển
F88	Các rối loạn khác của phát triển tâm lý
F89	Rối loạn không biệt định của phát triển tâm lý
F90	Các rối loạn tăng động
F91	Rối loạn hành vi
F92	Các rối loạn hỗn hợp về hành vi và cảm xúc
F93	Rối loạn cảm xúc với sự khởi phát đặc biệt ở trẻ em
F94	Các rối loạn hoạt động xã hội khởi phát đặc biệt ở tuổi trẻ em và thanh thiếu niên
F95	Các rối loạn Tic
F98	Các rối loạn tác phong và cảm xúc khác thường khởi phát ở lứa tuổi trẻ em và thanh thiếu niên
F99	Rối loạn tâm thần không biệt định khác
G00	Bệnh viêm màng não vi khuẩn, không phân loại nơi khác
G01	Bệnh viêm màng não trong bệnh nhiễm khuẩn phân loại nơi khác
G02	Viêm màng não trong bệnh nhiễm trùng và ký sinh trùng phân loại nơi khác
G03	Viêm màng não do nguyên nhân khác và không xác định
G04	Viêm não, viêm tuỷ và viêm não- tuỷ
G05	Viêm não, viêm tuỷ và viêm não- tuỷ trong bệnh phân loại nơi khác
G06	Áp xe nội sọ và u hạt nội sọ, áp xe nội tuỷ và u hạt nội tuỷ
G07	Áp xe nội sọ và u hạt nội sọ, áp xe nội tuỷ và u hạt nội tuỷ trong bệnh phân loại nơi khác
G08	Viêm tĩnh mạch và viêm tắc tĩnh mạch nội sọ và nội tuỷ
G09	Di chứng của bệnh viêm hệ thần kinh trung ương
G10	Bệnh Hungtington
G11	Thất điều di truyền
G12	Teo cơ do tổn thương tuỷ sống và hội chứng liên quan
G13	Bệnh teo hệ thống ảnh hưởng chủ yếu tới hệ thần kinh trung ương trong bệnh phân loại nơi khác
G14	Hội chứng sau bại liệt
G20	Bệnh Parkinson
G21	Hội chứng Parkinson thứ phát
G22	Hội chứng Parkinson trong bệnh phân loại nơi khác
G23	Bệnh thoái hoá khác của hạch nền não
G24	Loạn trương lực cơ
G25	Hội chứng ngoại tháp và rối loạn vận động khác
G26	Hội chứng ngoại tháp và rối loạn vận động trong bệnh phân loại nơi khác
G30	Bệnh Alzheimer
G31	Bệnh thoái hoá khác của hệ thần kinh, không phân loại nơi khác
G32	Bệnh thoái hoá khác của hệ thần kinh, trong bệnh phân loại nơi khác
G35	Đa xơ cứng, xơ cứng rải rác
G36	Thoái hoá myelin rải rác cấp tính khác
G37	Bệnh thoái hoá myelin khác của hệ thần kinh trung ương
G40	Động kinh
G41	Trạng thái động kinh
G43	Migraine
G44	Hội chứng đau đầu khác
G45	Cơn thiếu máu não thoáng qua và hội chứng liên quan
G46	Hội chứng mạch máu não trong bệnh mạch não
G47	Rối loạn giấc ngủ
G50	Bệnh thần kinh tam thoa
G51	Bệnh thần kinh mặt
G52	Bệnh các dây thần kinh sọ khác
G53	Bệnh thần kinh sọ trong bệnh phân loại nơi khác
G54	Bệnh rễ và đám rối thần kinh
G55	Chèn ép rễ thần kinh và đám rối trong bệnh phân loại nơi khác
G56	Bệnh đơn dây thần kinh chi trên
G57	Bệnh đơn dây thần kinh chi dưới
G58	Bệnh đơn dây thần kinh khác
G59	Bệnh đơn dây thần kinh phân loại nơi khác
G60	Bệnh dây thần kinh di truyền và nguyên phát
G61	Viêm đa dây thần kinh
G62	Bệnh đa dây thần kinh khác
G63	Bệnh đa dây thần kinh trong các bệnh phân loại nơi khác
G64	Bệnh khác của hệ thần kinh ngoại vi
G70	Nhược cơ và bệnh thần kinh- cơ khác
G71	Bệnh cơ tiên phát
G72	Bệnh cơ khác
G73	Bệnh khớp thần kinh- cơ và cơ trong các bệnh phân loại nơi khác
G80	Bại não
G81	Liệt nửa người
G82	Liệt hai chân và liệt tứ chi
G83	Hội chứng liệt khác
G90	Bệnh hệ thần kinh tự chủ
G91	Não úng thuỷ
G92	Bệnh não nhiễm độc
G93	Bệnh khác của não
G94	Bệnh khác của não trong bệnh phân loại nơi khác
G95	Bệnh khác của tuỷ sống
G96	Bệnh khác của hệ thần kinh trung ương
G97	Các rối loạn của hệ thần kinh sau phẫu thuật, thủ thuật, không phân loại nơi khác
G98	Bệnh khác của hệ thần kinh không phân loại nơi khác
G99	Bệnh khác của hệ thần kinh trong bệnh phân loại nơi khác
H00	Lẹo và chắp
H01	Viêm khác của mí mắt
H02	Bệnh khác của mí mắt
H03	Bệnh mí mắt trong các bệnh phân loại nơi khác
H04	Bệnh của lệ bộ
H05	Bệnh của hốc mắt
H06	Bệnh của lệ bộ và hốc mắt trong các bệnh phân loại nơi khác
H10	Viêm kết mạc
H11	Bệnh khác của kết mạc
H12	Bệnh của kết mạc trong các bệnh phân loại nơi khác
H15	Bệnh của củng mạc
H16	Viêm giác mạc
H17	Sẹo và đục giác mạc
H18	Bệnh khác của giác mạc
H19	Bệnh củng mạc và giác mạc trong các bệnh phân loại nơi khác
H20	Viêm mống mắt thể mi
H21	Bệnh khác của mống mắt và thể mi
H22	Bệnh của mống mắt và thể mi trong bệnh phân loại nơi khác
H25	Đục thể thuỷ tinh người già
H26	Đục thể thuỷ tinh khác
H27	Các bệnh khác của thể thuỷ tinh
H28	Đục thể thuỷ tinh và bệnh của thể thuỷ tinh khác trong các bệnh phân loại nơi khác
H30	Viêm hắc võng mạc
H31	Bệnh khác của hắc mạc
