disease	icd_code	description
Fungal infection	b49	Ở người, nhiễm nấm xảy ra khi một loại nấm xâm nhập chiếm một vùng cơ thể và quá nhiều đối với hệ thống miễn dịch để xử lý. Nấm có thể sống trong không khí, đất, nước và thực vật. Một số loại nấm sống tự nhiên trong cơ thể con người. Giống như nhiều loại vi khuẩn, nấm có thể có lợi hoặc có hại.
GERD	k21_9	Bệnh trào ngược dạ dày thực quản, hay GERD, là một rối loạn tiêu hóa ảnh hưởng đến cơ thắt thực quản dưới (LES), vòng cơ giữa thực quản và dạ dày. Nhiều người, bao gồm cả phụ nữ mang thai, đều có thể bị ợ nóng hoặc khó tiêu do GERD.
Gastroenteritis	k52_9	Viêm dạ dày- ruột là tình trạng viêm đường tiêu hóa, đặc biệt là dạ dày, ruột già và ruột non. Viêm dạ dày ruột do vi-rút và vi khuẩn là các bệnh nhiễm trùng đường ruột liên quan đến các triệu chứng tiêu chảy, đau bụng, buồn nôn và nôn.
Heart attack	i21_9	Cơ tim chết do mất nguồn cung cấp máu. Việc mất nguồn cung cấp máu thường là do tắc nghẽn hoàn toàn động mạch vành, một trong những động mạch cung cấp máu cho cơ tim.
Hepatitis A	b15_9	Viêm gan A là một bệnh nhiễm trùng gan rất dễ lây lan do vi-rút viêm gan A gây ra. Vi-rút này là một trong số nhiều loại vi-rút viêm gan gây viêm và ảnh hưởng đến khả năng hoạt động của gan.
Hepatitis B	b18_1	Viêm gan B là một bệnh nhiễm trùng gan. Bệnh có thể gây sẹo ở gan, suy gan và ung thư. Bệnh có thể gây tử vong nếu không được điều trị. Bệnh lây lan khi mọi người tiếp xúc với máu, vết thương hở hoặc dịch cơ thể của người mắc vi-rút viêm gan B.
Hepatitis C	b18_2	Viêm gan do vi-rút viêm gan C (HCV), thường lây lan qua truyền máu (hiếm gặp), thẩm phân máu và kim tiêm. Tổn thương do viêm gan C gây ra cho gan có thể dẫn đến xơ gan và các biến chứng của bệnh cũng như ung thư.
Hepatitis D	b16_0	Viêm gan D, còn được gọi là virus viêm gan delta, là một bệnh nhiễm trùng khiến gan bị viêm. Tình trạng sưng này có thể làm suy yếu chức năng gan và gây ra các vấn đề về gan lâu dài, bao gồm sẹo gan và ung thư. Tình trạng này do virus viêm gan D (HDV) gây ra.
Hepatitis E	b17_2	Một dạng viêm gan hiếm gặp do nhiễm vi-rút viêm gan E (HEV). Bệnh lây truyền qua thức ăn hoặc đồ uống do người bị nhiễm bệnh xử lý hoặc qua nguồn nước bị nhiễm bệnh ở những khu vực mà phân có thể ngấm vào nước. Viêm gan E không gây ra bệnh gan mãn tính.
Hypertension	i10	Tăng huyết áp (HTN hoặc HT), còn được gọi là huyết áp cao (HBP), là một tình trạng bệnh lý lâu dài trong đó huyết áp trong động mạch liên tục tăng cao. Huyết áp cao thường không gây ra triệu chứng.
Hyperthyroidism	e05_9	Cường giáp (tuyến giáp hoạt động quá mức) xảy ra khi tuyến giáp của bạn sản xuất quá nhiều hormone thyroxine. Cường giáp có thể đẩy nhanh quá trình trao đổi chất của cơ thể, gây ra tình trạng sụt cân không chủ ý và nhịp tim nhanh hoặc không đều.
Hypoglycemia	e16_2	Hạ đường huyết là tình trạng lượng đường trong máu (glucose) của bạn thấp hơn bình thường. Glucose là nguồn năng lượng chính của cơ thể bạn. Hạ đường huyết thường liên quan đến việc điều trị bệnh tiểu đường. Nhưng các loại thuốc khác và nhiều tình trạng khác nhau - nhiều tình trạng hiếm gặp - có thể gây ra lượng đường trong máu thấp ở những người không bị tiểu đường.
Hypothyroidism	e03_9	Suy giáp, còn được gọi là tuyến giáp hoạt động kém hoặc tuyến giáp thấp, là một rối loạn của hệ thống nội tiết trong đó tuyến giáp không sản xuất đủ hormone tuyến giáp.
Impetigo	l01_0	Chốc lở là một bệnh nhiễm trùng da phổ biến và dễ lây lan, chủ yếu ảnh hưởng đến trẻ sơ sinh và trẻ em. Chốc lở thường biểu hiện dưới dạng các vết loét đỏ trên mặt, đặc biệt là xung quanh mũi và miệng của trẻ em, cũng như trên tay và chân. Các vết loét vỡ ra và đóng vảy màu mật ong. 
Jaundice	r17_0	Da và củng mạc (phần trắng của mắt) chuyển sang màu vàng do nồng độ sắc tố mật bilirubin trong máu cao bất thường. Màu vàng lan sang các mô và dịch cơ thể khác. Vàng da từng được gọi là "Morbus regius" (bệnh của vua chúa) vì người ta tin rằng chỉ có sự chạm vào của vua chúa mới có thể chữa khỏi bệnh.
Malaria	b52_9	Một căn bệnh truyền nhiễm do ký sinh trùng đơn bào thuộc họ Plasmodium gây ra, có thể lây truyền qua vết đốt của muỗi Anopheles hoặc qua kim tiêm hoặc truyền máu bị nhiễm bệnh. Sốt rét do Falciparum là loại gây tử vong cao nhất.
Migraine	g43_9	Đau nửa đầu có thể gây ra cơn đau nhói dữ dội hoặc cảm giác đập, thường ở một bên đầu. Thường kèm theo buồn nôn, nôn và cực kỳ nhạy cảm với ánh sáng và âm thanh. Các cơn đau nửa đầu có thể kéo dài hàng giờ đến hàng ngày và cơn đau có thể dữ dội đến mức ảnh hưởng đến các hoạt động hàng ngày của bạn.
Osteoarthritis	m19_9	Viêm xương khớp là dạng viêm khớp phổ biến nhất, ảnh hưởng đến hàng triệu người trên toàn thế giới. Bệnh xảy ra khi sụn bảo vệ đệm cho các đầu xương của bạn bị mòn theo thời gian.
Brain haemorrhage	i61_9	Xuất huyết não (ICH) là tình trạng máu đột ngột tràn vào mô não, gây tổn thương não. Các triệu chứng thường xuất hiện đột ngột trong quá trình ICH. Chúng bao gồm đau đầu, yếu, lú lẫn và tê liệt, đặc biệt là ở một bên cơ thể.
Paroxysmal positional vertigo	h81_1	Chóng mặt tư thế kịch phát lành tính (BPPV) là một trong những nguyên nhân phổ biến nhất gây chóng mặt - cảm giác đột ngột rằng bạn đang quay cuồng hoặc bên trong đầu bạn đang quay cuồng. Chóng mặt tư thế kịch phát lành tính gây ra các cơn chóng mặt nhẹ đến dữ dội trong thời gian ngắn.
Peptic ulcer disease	k27_9	Bệnh loét dạ dày tá tràng (PUD) là tình trạng rách niêm mạc bên trong dạ dày, phần đầu của ruột non hoặc đôi khi là thực quản dưới. Loét dạ dày được gọi là loét dạ dày, trong khi loét ở phần đầu của ruột được gọi là loét tá tràng.
Pneumonia	j18_9	Viêm phổi là tình trạng nhiễm trùng ở một hoặc cả hai phổi. Nguyên nhân gây ra tình trạng này là do vi khuẩn, vi-rút và nấm. Nhiễm trùng gây viêm các túi khí trong phổi, được gọi là phế nang. Các phế nang chứa đầy dịch hoặc mủ, khiến bạn khó thở.
Psoriasis	l40_9	Bệnh vẩy nến là một rối loạn da phổ biến, hình thành các mảng dày, đỏ, gồ ghề phủ đầy vảy bạc. Chúng có thể xuất hiện ở bất cứ đâu, nhưng hầu hết xuất hiện ở da đầu, khuỷu tay, đầu gối và lưng dưới. Bệnh vẩy nến không thể lây từ người này sang người khác. Đôi khi nó xảy ra ở những thành viên trong cùng một gia đình.
Tuberculosis	a15_9	Bệnh lao (TB) là một bệnh truyền nhiễm thường do vi khuẩn Mycobacterium tuberculosis (MTB) gây ra. Bệnh lao thường ảnh hưởng đến phổi, nhưng cũng có thể ảnh hưởng đến các bộ phận khác của cơ thể. Hầu hết các bệnh nhiễm trùng không biểu hiện triệu chứng, trong trường hợp đó, nó được gọi là bệnh lao tiềm ẩn.
Typhoid	a01_0	Một căn bệnh cấp tính có đặc điểm là sốt do nhiễm vi khuẩn Salmonella typhi. Sốt thương hàn khởi phát âm thầm, với các triệu chứng sốt, nhức đầu, táo bón, khó chịu, ớn lạnh và đau cơ. Tiêu chảy không phổ biến và nôn thường không nghiêm trọng.
Urinary tract infection	n39_0	Nhiễm trùng đường tiết niệu: Nhiễm trùng thận, niệu quản, bàng quang hoặc niệu đạo. UTI viết tắt. Không phải ai bị UTI cũng có triệu chứng, nhưng các triệu chứng phổ biến bao gồm buồn tiểu thường xuyên và đau hoặc nóng rát khi đi tiểu.
Varicose veins	i83_9	Tĩnh mạch bị giãn và xoắn, thường xuất hiện dưới dạng mạch máu phồng lên, màu xanh lam có thể nhìn thấy rõ qua da. Tĩnh mạch giãn thường gặp nhất ở người lớn tuổi, đặc biệt là phụ nữ và thường xảy ra ở chân.
